player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Dancevic F.,Querrey S.,"[('2009-07-25', 'N'), ('2016-07-26', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Haase R.,"[('2011-01-04', 'N'), ('2013-08-26', 'U')]","[('2013-08-26', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Odesnik W.,"[('2007-08-08', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Sela D.,"[('2012-07-09', 'N')]",[],1,,,,,,,,,,,,,
Andujar P.,Dancevic F.,"[('2015-08-11', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Giraldo S.,"[('2009-08-03', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Darcis S.,"[('2009-06-22', 'U')]","[('2009-06-22', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Young D.,"[('2014-08-05', 'N'), ('2014-08-19', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Kukushkin M.,"[('2012-08-07', 'U'), ('2014-06-26', 'U'), ('2016-06-21', 'U')]","[('2012-08-07', 'UL'), ('2014-06-26', 'UL'), ('2016-06-21', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Mannarino A.,"[('2011-02-04', 'U')]","[('2011-02-04', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Ward J.,"[('2009-06-17', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Evans B.,"[('2008-07-09', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Mayer L.,"[('2009-06-18', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Sijsling I.,"[('2015-02-04', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Janowicz J.,"[('2013-08-07', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Dolgopolov O.,"[('2015-03-13', 'N'), ('2016-06-22', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Harrison R.,"[('2016-07-12', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Paire B.,"[('2014-01-14', 'N'), ('2014-07-28', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Sousa J.,"[('2014-08-27', 'N')]",[],1,,,,,,,,,,,,,
